Title,link,Additional keywords
Anima Tutorial Sketch File ,https://medium.com/sketch-app-sources/how-to-create-a-spotify-inspired-prototype-using-sketch-anima-63dfcc977f7c,"101,start,first,tutorial,lesson,wow,cool,music,spotify"
How to Create a High-Fidelity Prototype,https://support.animaapp.com/designer-s-guide-to-anima/popular-tutorials/how-to-create-a-high-fidelity-prototype,"101,start,first,tutorial,lesson,wow,cool,dashboard,sketch"
Introduction to Prototypes,https://support.animaapp.com/designer-s-guide-to-anima/anima-basics/introduction-to-prototypes,"link,breakpoint,invision,high,fidelity,smart,hover,entrance,embed,video,map"
Introduction to Layout,https://support.animaapp.com/designer-s-guide-to-anima/anima-basics/introduction-to-layout,"pins,stacks,padding,margin,spacing,grid,sort,align,fix"
Getting Started with Anima Projects,https://support.animaapp.com/designer-s-guide-to-anima/anima-basics/getting-started-with-anima-projects,"draft,private,public,share,sync"
How to Publish a Website and Host it With Anima,https://support.animaapp.com/designer-s-guide-to-anima/popular-tutorials/how-to-publish-a-website-and-host-it-with-anima,"Server,upload"
How to Export Sketch to HTML,https://support.animaapp.com/designer-s-guide-to-anima/popular-tutorials/how-to-export-sketch-to-html,"Export,CSS,HTML,JS,javascript,code,save,download,offline"
Team Collaboration,https://support.animaapp.com/designer-s-guide-to-anima/team-work/team-collaboration,"invite,comment,handoff,specs,share,enterprise"
How to Handoff Design Specs to Developers,https://support.animaapp.com/designer-s-guide-to-anima/team-work/how-to-handoff-design-specs-to-developers,"invite,comment,share,enterprise"
Manage Access Levels and Roles in a Team,https://support.animaapp.com/designer-s-guide-to-anima/team-work/manage-access-levels-and-roles-in-a-team,"permission,security"
All You Need to Know About Anima 3.0,https://support.animaapp.com/designer-s-guide-to-anima/all-you-need-to-know-about-anima-30,
How to Download the Anima Toolkit Sketch Plugin,https://support.animaapp.com/faq/how-to-download-the-anima-toolkit-sketch-plugin,
How to log in to Anima Sketch Plugin?,https://support.animaapp.com/faq/how-to-log-in-to-anima-sketch-plugin,
Can't find Auto Layout?,https://support.animaapp.com/faq/cant-find-auto-layout,autolayout
Can't find Launchpad?,https://support.animaapp.com/faq/cant-find-launchpad,
Can't find Timeline?,https://support.animaapp.com/faq/cant-find-timeline,
How to Use Pins,https://support.animaapp.com/faq/how-to-use-pins,Layout
Creating Stacks,https://support.animaapp.com/faq/creating-stacks,Layout
Suggest a Feature,https://uservoice.animaapp.com/,request
Sync or Transfer Project to a New Team,https://support.animaapp.com/faq/sync-or-transfer-project-to-a-new-team,share
Masks Are Not Rendering in the Browser,https://support.animaapp.com/faq/masks-are-not-rendering-in-the-browser,
How to Embed Code to Your Sketch Design,https://support.animaapp.com/faq/how-to-embed-code-to-your-sketch-design,"js,javascript,snippet,widget,map"
How to Fix Position (Sticky) of Layers,https://support.animaapp.com/faq/how-to-fix-position-sticky-of-layers,
How to Create Curved Path Animations in Sketch,https://support.animaapp.com/faq/how-to-create-curved-path-animations-in-sketch,
Changes Are Not Displayed on Website Preview,https://support.animaapp.com/faq/changes-are-not-displayed-on-website-preview,"update,old,refresh,reload"
Versioning,https://support.animaapp.com/faq/versioning,history
How to Create Links Inside a Symbol,https://support.animaapp.com/faq/how-to-create-links-inside-a-symbol,
Breakpoints,https://support.animaapp.com/faq/breakpoints,responsive
How to Make Forms and Text Inputs,https://support.animaapp.com/faq/how-to-make-forms-and-text-inputs,"send,submit,spreadsheet"
